# Taskr #205 - provision-member round trip measured from a phone, 2026-09-07.
#
# Device      Samsung SM-S918U, Android 16, curl 8.15.0 under `adb shell`. No browser.
# Function    provision-member, deployment v8, ezbr_sha256
#             c7c2e6f4f2afafe5ce05c1948ece9f3fd517228fcbbec26b5e9826ba7f0efd73,
#             deployed 2026-09-04T22:31:12.914Z; source last moved by commit dbe6bbd.
# Analysis    docs/hosting-decision.md, section "Measured 2026-09-07".
#
# Every row is a REFUSAL. auth=key sends the publishable key and reaches the
# function (401 {"error":"Sign in first."}); auth=none sends no Authorization
# header and is refused by the GATEWAY one hop short of it
# (401 {"code":"UNAUTHORIZED_NO_AUTH_HEADER"}), so it times the network without
# booting anything. `reached` is classified from the body that came back, not
# from which call was intended. No write, no credential minted, no provider call.
#
# The per-pass public egress addresses are REDACTED: they are the owner's home
# and cellular IPs and this repo is public. They were recorded at capture time
# and differed between the wifi and cellular passes, which is the control that
# the two networks really are two networks.
#
# Times are seconds as curl reports them. idle_s is the idle ACTUALLY SLEPT
# before a cold window, 0 where it does not apply.
#
# pass  1,2 = warm (wireless debugging); 3 = cold schedule, six 930 s idle
#             windows over USB, detached on the phone.
# phase warm | first-after-idle | reused | control | cold | warm-after-cold
#
pass	ts_utc	network	phase	auth	reached	idle_s	http	dns_s	connect_s	appconnect_s	starttransfer_s	total_s	remote_ip	num_connects	body
# 1 network=wifi iface=wlan0 egress=<redacted> started=2026-09-07T04:19:59Z
1	2026-09-07T04:20:39Z	wifi	warm	key	function	0	401	0.006771	0.051478	0.083823	0.396620	0.396740	172.64.149.246	1	{"error":"Sign in first."}
1	2026-09-07T04:20:41Z	wifi	warm	key	function	0	401	0.006491	0.141615	0.259062	0.595936	0.596232	172.64.149.246	1	{"error":"Sign in first."}
1	2026-09-07T04:20:43Z	wifi	warm	key	function	0	401	0.009597	0.061343	0.442146	0.909991	0.910305	172.64.149.246	1	{"error":"Sign in first."}
1	2026-09-07T04:20:44Z	wifi	warm	none	gateway	0	401	0.009120	0.152852	0.574966	1.092622	1.092733	172.64.149.246	1	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
1	2026-09-07T04:20:48Z	wifi	reused	key	function	0	401	0.007518	0.785695	1.033087	1.968679	1.969005	172.64.149.246	1	-
1	2026-09-07T04:20:49Z	wifi	reused	key	function	0	401	0.000000	0.000000	0.000000	0.715924	0.716522	172.64.149.246	0	-
1	2026-09-07T04:20:49Z	wifi	reused	key	function	0	401	0.000000	0.000000	0.000000	0.319240	0.320019	172.64.149.246	0	-
1	2026-09-07T04:20:49Z	wifi	reused	key	function	0	401	0.000000	0.000000	0.000000	0.405989	0.406572	172.64.149.246	0	-
1	2026-09-07T04:20:50Z	wifi	reused	key	function	0	401	0.000000	0.000000	0.000000	0.314334	0.314805	172.64.149.246	0	-
1	2026-09-07T04:20:50Z	wifi	reused	key	function	0	401	0.000000	0.000000	0.000000	0.310816	0.311205	172.64.149.246	0	-
1	2026-09-07T04:20:50Z	wifi	reused	key	function	0	401	0.000000	0.000000	0.000000	0.310469	0.311142	172.64.149.246	0	-
1	2026-09-07T04:20:51Z	wifi	reused	key	function	0	401	0.000000	0.000000	0.000000	0.293599	0.294225	172.64.149.246	0	-
1	2026-09-07T04:20:51Z	wifi	reused	key	function	0	401	0.000000	0.000000	0.000000	0.445246	0.446138	172.64.149.246	0	-
1	2026-09-07T04:20:51Z	wifi	reused	key	function	0	401	0.000000	0.000000	0.000000	0.509762	0.510333	172.64.149.246	0	-
# 1 network=wifi finished=2026-09-07T04:20:51Z
# 1 network=cellular iface=rmnet_data1 egress=<redacted> started=2026-09-07T04:21:02Z
1	2026-09-07T04:21:03Z	cellular	first-after-idle	key	function	0	401	0.048873	0.087859	0.142106	0.630945	0.631256	172.64.149.246	1	{"error":"Sign in first."}
1	2026-09-07T04:21:05Z	cellular	warm	key	function	0	401	0.138306	0.196951	0.257942	0.584051	0.584257	172.64.149.246	1	{"error":"Sign in first."}
1	2026-09-07T04:21:06Z	cellular	warm	key	function	0	401	0.009486	0.058040	0.117009	0.420669	0.420888	172.64.149.246	1	{"error":"Sign in first."}
1	2026-09-07T04:21:07Z	cellular	warm	none	gateway	0	401	0.009688	0.041529	0.107955	0.356053	0.356360	172.64.149.246	1	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
1	2026-09-07T04:21:09Z	cellular	warm	key	function	0	401	0.006591	0.049265	0.107882	0.437220	0.437764	172.64.149.246	1	{"error":"Sign in first."}
1	2026-09-07T04:21:10Z	cellular	warm	key	function	0	401	0.007380	0.062229	0.133348	0.423516	0.423803	172.64.149.246	1	{"error":"Sign in first."}
1	2026-09-07T04:21:12Z	cellular	warm	key	function	0	401	0.006247	0.057582	0.144555	0.429317	0.429579	172.64.149.246	1	{"error":"Sign in first."}
1	2026-09-07T04:21:12Z	cellular	warm	none	gateway	0	401	0.007232	0.051004	0.123310	0.304993	0.305256	172.64.149.246	1	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
1	2026-09-07T04:21:14Z	cellular	warm	key	function	0	401	0.007503	0.051863	0.113985	0.405195	0.405534	172.64.149.246	1	{"error":"Sign in first."}
1	2026-09-07T04:21:15Z	cellular	warm	key	function	0	401	0.009967	0.070256	0.136285	0.433575	0.433882	172.64.149.246	1	{"error":"Sign in first."}
1	2026-09-07T04:21:17Z	cellular	warm	key	function	0	401	0.007615	0.059993	0.125674	0.392667	0.392850	172.64.149.246	1	{"error":"Sign in first."}
1	2026-09-07T04:21:18Z	cellular	warm	none	gateway	0	401	0.006763	0.039080	0.099025	0.340545	0.340711	172.64.149.246	1	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
1	2026-09-07T04:21:19Z	cellular	warm	key	function	0	401	0.007220	0.054606	0.125379	0.420013	0.420258	172.64.149.246	1	{"error":"Sign in first."}
1	2026-09-07T04:21:21Z	cellular	warm	key	function	0	401	0.008145	0.057299	0.138169	0.420192	0.420433	172.64.149.246	1	{"error":"Sign in first."}
1	2026-09-07T04:21:22Z	cellular	warm	key	function	0	401	0.009198	0.071030	0.131564	0.425020	0.425265	172.64.149.246	1	{"error":"Sign in first."}
1	2026-09-07T04:21:23Z	cellular	warm	none	gateway	0	401	0.004952	0.035870	0.102830	0.375062	0.375299	172.64.149.246	1	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
1	2026-09-07T04:21:24Z	cellular	warm	key	function	0	401	0.014149	0.058131	0.133401	0.409177	0.409571	172.64.149.246	1	{"error":"Sign in first."}
1	2026-09-07T04:21:26Z	cellular	warm	key	function	0	401	0.007163	0.067023	0.152313	0.431149	0.431385	172.64.149.246	1	{"error":"Sign in first."}
1	2026-09-07T04:21:28Z	cellular	warm	key	function	0	401	0.006839	0.069004	0.133179	0.426346	0.426601	172.64.149.246	1	{"error":"Sign in first."}
1	2026-09-07T04:21:28Z	cellular	warm	none	gateway	0	401	0.006599	0.054287	0.130921	0.324745	0.324944	172.64.149.246	1	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
1	2026-09-07T04:21:30Z	cellular	warm	key	function	0	401	0.006436	0.053903	0.116517	0.405169	0.405613	172.64.149.246	1	{"error":"Sign in first."}
1	2026-09-07T04:21:31Z	cellular	warm	key	function	0	401	0.009547	0.065954	0.133902	0.410400	0.410726	172.64.149.246	1	{"error":"Sign in first."}
1	2026-09-07T04:21:33Z	cellular	warm	key	function	0	401	0.006949	0.046386	0.127986	0.423714	0.424012	172.64.149.246	1	{"error":"Sign in first."}
1	2026-09-07T04:21:39Z	cellular	warm	none	gateway	0	401	6.028316	6.081896	6.157948	6.296365	6.296563	172.64.149.246	1	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
1	2026-09-07T04:21:41Z	cellular	warm	key	function	0	401	0.060227	0.111347	0.177512	0.411442	0.411636	172.64.149.246	1	{"error":"Sign in first."}
1	2026-09-07T04:21:43Z	cellular	warm	key	function	0	401	0.179229	0.243837	0.324060	0.585893	0.586170	172.64.149.246	1	{"error":"Sign in first."}
1	2026-09-07T04:21:44Z	cellular	warm	key	function	0	401	0.008707	0.060443	0.123918	0.440501	0.440768	172.64.149.246	1	{"error":"Sign in first."}
1	2026-09-07T04:21:45Z	cellular	warm	none	gateway	0	401	0.007309	0.055253	0.117970	0.334087	0.334338	172.64.149.246	1	{"code":"UNAUTHORIZED_NO_AUTH_HEADER","message":"Missing authorization header"}
1	2026-09-07T04:21:46Z	cellular	warm	key	function	0	401	0.008905	0.060630	0.144996	0.403758	0.404053	172.64.149.246	1	{"error":"Sign in first."}
